/afe_in X,/afe_in Y,/label X,/label Y,/afe_out X,/afe_out Y,/spk_up X,/spk_up Y,/elec_in X,/elec_in Y,/spk_down X,/spk_down Y
51.89160156,0.002281913,51.89160156,0,51.84765625,0.865818471,51.84765625,-1.38E-05,51.84765625,0.002272187,51.84765625,-1.45E-05
51.89550781,0.00228097,51.89550781,0,51.8515625,0.863978531,51.8515625,2.51E-05,51.8515625,0.002274077,51.8515625,2.66E-05
51.89941406,0.002279852,51.89941406,0,51.85546875,0.862133445,51.85546875,-7.43E-06,51.85546875,0.002275947,51.85546875,-7.97E-06
51.90332031,0.002278645,51.90332031,0,51.859375,0.860446912,51.859375,4.42E-06,51.859375,0.002277673,51.859375,4.78E-06
51.90722656,0.002277379,51.90722656,0,51.86328125,0.859019889,51.86328125,-2.73E-06,51.86328125,0.002279215,51.86328125,-3.16E-06
51.91113281,0.002276124,51.91113281,0,51.8671875,0.857883007,51.8671875,1.73E-05,51.8671875,0.002280565,51.8671875,1.82E-05
51.91503906,0.002275005,51.91503906,0,51.87109375,0.85709397,51.87109375,1.66E-05,51.87109375,0.002281645,51.87109375,1.78E-05
51.91992188,0.002274084,51.91992188,0,51.875,0.856863098,51.875,-1.24E-05,51.875,0.00228225,51.875,-1.31E-05
51.92382813,0.002273339,51.92382813,0,51.87890625,0.857023133,51.87890625,-1.66E-06,51.87890625,0.002282684,51.87890625,-1.76E-06
51.92773438,0.002272766,51.92773438,0,51.8828125,0.857542412,51.8828125,1.20E-05,51.8828125,0.00228282,51.8828125,1.28E-05
51.93164063,0.00227243,51.93164063,0,51.88671875,0.858494167,51.88671875,-6.27E-06,51.88671875,0.002282624,51.88671875,-6.55E-06
51.93554688,0.00227237,51.93554688,0,51.890625,0.859899771,51.890625,1.41E-05,51.890625,0.002282073,51.890625,1.50E-05
51.93945313,0.002272548,51.93945313,0,51.89453125,0.861740227,51.89453125,7.88E-06,51.89453125,0.002281205,51.89453125,8.33E-06
51.94335938,0.002272932,51.94335938,0,51.8984375,0.863896224,51.8984375,-7.49E-06,51.8984375,0.002280131,51.8984375,-7.97E-06
51.94726563,0.002273574,51.94726563,0,51.90234375,0.866224243,51.90234375,4.50E-06,51.90234375,0.002278947,51.90234375,4.71E-06
51.95117188,0.00227452,51.95117188,0,51.90625,0.868622206,51.90625,1.89E-05,51.90625,0.002277695,51.90625,1.99E-05
51.95507813,0.002275724,51.95507813,0,51.91015625,0.871021397,51.91015625,6.71E-07,51.91015625,0.002276438,51.91015625,7.05E-07
51.95996094,0.002277111,51.95996094,0,51.9140625,0.873293103,51.9140625,1.35E-05,51.9140625,0.002275285,51.9140625,1.42E-05
51.96386719,0.002278668,51.96386719,0,51.91796875,0.875215493,51.91796875,1.77E-06,51.91796875,0.002274452,51.91796875,1.76E-06
51.96777344,0.002280397,51.96777344,0,51.921875,0.876793288,51.921875,-3.58E-06,51.921875,0.002273712,51.921875,-3.76E-06
51.97167969,0.00228222,51.97167969,0,51.92578125,0.878250339,51.92578125,-3.09E-06,51.92578125,0.002273053,51.92578125,-3.25E-06
51.97558594,0.002284022,51.97558594,0,51.9296875,0.879454488,51.9296875,-3.69E-06,51.9296875,0.002272598,51.9296875,-3.95E-06
51.97949219,0.002285755,51.97949219,0,51.93359375,0.880314343,51.93359375,-1.02E-06,51.93359375,0.0022724,51.93359375,-1.08E-06
51.98339844,0.002287403,51.98339844,0,51.9375,0.880788807,51.9375,-5.78E-06,51.9375,0.002272459,51.9375,-6.08E-06
51.98730469,0.00228888,51.98730469,0,51.94140625,0.880922073,51.94140625,-3.99E-06,51.94140625,0.00227274,51.94140625,-4.29E-06
51.99121094,0.002290048,51.99121094,0,51.9453125,0.88074536,51.9453125,-2.79E-05,51.9453125,0.002273253,51.9453125,-2.92E-05
51.99511719,0.00229084,51.99511719,0,51.94921875,0.8802118,51.94921875,2.30E-06,51.94921875,0.002274047,51.94921875,2.46E-06
51.99902344,0.002291272,51.99902344,0,51.953125,0.879290646,51.953125,-6.37E-07,51.953125,0.002275122,51.953125,-6.77E-07
52.00390625,0.002291328,52.00390625,0,51.95703125,0.878114795,51.95703125,-1.82E-05,51.95703125,0.002276279,51.95703125,-1.85E-05
52.0078125,0.002290951,52.0078125,0,51.9609375,0.876962276,51.9609375,1.61E-05,51.9609375,0.0022775,51.9609375,1.72E-05
52.01171875,0.002290144,52.01171875,0,51.96484375,0.875404211,51.96484375,-5.69E-06,51.96484375,0.0022791,51.96484375,-6.02E-06
52.015625,0.002289008,52.015625,0,51.96875,0.873572046,51.96875,-3.20E-06,51.96875,0.002280853,51.96875,-3.25E-06
52.01953125,0.002287636,52.01953125,0,51.97265625,0.871622316,51.97265625,8.26E-06,51.97265625,0.002282671,51.97265625,8.71E-06
52.0234375,0.002286065,52.0234375,0,51.9765625,0.869702721,51.9765625,8.88E-07,51.9765625,0.002284456,51.9765625,9.50E-07
52.02734375,0.002284359,52.02734375,0,51.98046875,0.867903029,51.98046875,4.18E-05,51.98046875,0.002286167,51.98046875,4.39E-05
52.03125,0.002282651,52.03125,0,51.984375,0.866259918,51.984375,-1.23E-05,51.984375,0.002287773,51.984375,-1.29E-05
52.03515625,0.002281049,52.03515625,0,51.98828125,0.864869357,51.98828125,9.00E-06,51.98828125,0.002289172,51.98828125,9.54E-06
52.0390625,0.002279573,52.0390625,0,51.9921875,0.863892849,51.9921875,2.84E-06,51.9921875,0.002290246,51.9921875,2.98E-06
52.04394531,0.002278235,52.04394531,0,51.99609375,0.863428007,51.99609375,-2.25E-06,51.99609375,0.002290948,51.99609375,-2.38E-06
52.04785156,0.002277112,52.04785156,0,52,0.863478466,52,1.23E-05,52,0.002291283,52,1.31E-05
52.05175781,0.002276272,52.05175781,0,52.00390625,0.864026916,52.00390625,-2.48E-06,52.00390625,0.002291328,52.00390625,-2.64E-06
